,period,company,tickers,indicator,unit,amount
3,2014 Q1,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"4,173,000"
10,2014 Q2,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"4,829,000"
17,2014 Q3,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"4,536,000"
24,2014 Q4,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"5,427,000"
32,2015 Q1,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"6,400,000"
39,2015 Q2,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"6,485,000"
46,2015 Q3,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"6,689,000"
53,2015 Q4,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"7,556,000"
61,2016 Q1,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"8,599,000"
68,2016 Q2,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"7,893,000"
75,2016 Q3,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"7,632,000"
82,2016 Q4,"1347 Property Insurance Holdings, Inc.",PIH,Final Revenue,US Dollar,"8,132,000"
89,2014 Q1,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"179,591,000"
97,2014 Q2,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"187,369,000"
106,2014 Q3,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"126,703,000"
114,2014 Q4,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"534,275,000"
122,2015 Q1,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"232,237,000"
130,2015 Q2,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"228,291,000"
139,2015 Q3,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"156,041,000"
147,2015 Q4,1 800 FLOWERS COM INC,FLWS,Final Revenue,US Dollar,"548,381,000"
